Pergunta,Resposta,Quantidade
Cor do fundo das seções do site,Muito agradável,3
Cor do fundo das seções do site,Agradável,2
Tipografia e uso de cores para texto e títulos no site,Fácil de ler,5
Adequação das imagens para acessibilidade,"Sim, totalmente adequadas",3
Adequação das imagens para acessibilidade,Parcialmente adequadas,2
Seção de Clientes,Acessível,5
Página de Login,Acessível,4
Página de Login,Neutro,1
Página de Cadastro,Muito acessível,1
Página de Cadastro,Acessível,4
Aparência do site,Muito agradável,3
Aparência do site,Agradável,2
Acessibilidade geral do site,Classificação Média,4.20
